Title,Authors,Year,Location,Variable,Focus,Correlation,Control,
Restoration of tropical dry forest: an analysis of constraints and successes across a highly threatened biome,"Mesa-Sierra et al., 2024",2024,Tropics,previous land use,soil properties,NA,both,
Restoration of tropical dry forest: an analysis of constraints and successes across a highly threatened biome,"Mesa-Sierra et al., 2024",2024,Tropics,restoration type,soil properties,NA,both,
A Global Meta-Analysis of Land Use Change on Soil Mineral-Associated and Particulate Organic Carbon,"Zhao,Y. et al., 2025",2025,Global,restoration type,carbon,NA,degraded,
A Global Meta-Analysis of Land Use Change on Soil Mineral-Associated and Particulate Organic Carbon,"Zhao,Y. et al., 2025",2025,Global,MAP,carbon,NA,degraded,
A Global Meta-Analysis of Land Use Change on Soil Mineral-Associated and Particulate Organic Carbon,"Zhao,Y. et al., 2025",2025,Global,soil depth,carbon,negative,degraded,
A Global Meta-Analysis of Land Use Change on Soil Mineral-Associated and Particulate Organic Carbon,"Zhao,Y. et al., 2025",2025,Global,MAT,carbon,NA,degraded,
A Global Meta-Analysis of Land Use Change on Soil Mineral-Associated and Particulate Organic Carbon,"Zhao,Y. et al., 2025",2025,Global,degradation,carbon,NA,degraded,
A Global Meta-Analysis of Land Use Change on Soil Mineral-Associated and Particulate Organic Carbon,"Zhao,Y. et al., 2025",2025,Global,age,carbon,positive,degraded,
Global thresholds for the climate-driven effects of vegetation restoration on runoff and soil erosion,"Lin et al., 2025",2025,Global,MAT,soil properties,positive,degraded,
Global thresholds for the climate-driven effects of vegetation restoration on runoff and soil erosion,"Lin et al., 2025",2025,Global,MAP,soil properties,positive,degraded,
Global thresholds for the climate-driven effects of vegetation restoration on runoff and soil erosion,"Lin et al., 2025",2025,Global,vegetation type,soil properties,NA,degraded,
Global thresholds for the climate-driven effects of vegetation restoration on runoff and soil erosion,"Lin et al., 2025",2025,Global,slope,soil properties,positive,degraded,
